Search keyword report
4 May 2026 - 2 June 2026
Keyword status,Keyword,Match type,Status,Status reasons,Conversions,Currency code,Cost / conv.,Final URL,Clicks,Impr.,CTR,Avg. CPC,Cost,Conv. rate
Enabled,legal court,Broad match,Eligible,,0.00,INR,0.00,,0,22,0.00%,0,0.00,0.00%
Enabled,court documents,Broad match,Eligible,,0.00,INR,0.00,,0,0, --,0,0.00,0.00%
Enabled,court transcripts,Broad match,Eligible,,0.00,INR,0.00,,0,0, --,0,0.00,0.00%
Enabled,legal court documents,Broad match,Eligible,,0.00,INR,0.00,,0,141,0.00%,0,0.00,0.00%
Enabled,court files,Broad match,Eligible,,0.00,INR,0.00,,0,0, --,0,0.00,0.00%
Enabled,prism,Broad match,Eligible,,0.00,INR,0.00,,0,0, --,0,0.00,0.00%
Enabled,court of law,Broad match,Eligible,,0.00,INR,0.00,,0,0, --,0,0.00,0.00%
Enabled,free ai lawyer,Broad match,Eligible,,0.00,INR,0.00,,6,74,8.11%,12.24,73.41,0.00%
Enabled,case brief,Broad match,Eligible,,0.00,INR,0.00,,0,0, --,0,0.00,0.00%
Enabled,indian law,Broad match,Eligible,,0.00,INR,0.00,,1,84,1.19%,7.22,7.22,0.00%
Enabled,online legal research,Broad match,Eligible,,0.00,INR,0.00,,0,5,0.00%,0,0.00,0.00%
Enabled,legal research,Broad match,Eligible,,0.00,INR,0.00,,0,75,0.00%,0,0.00,0.00%
Enabled,find court cases by name,Broad match,Eligible,,0.00,INR,0.00,,0,0, --,0,0.00,0.00%
Enabled,law research,Broad match,Eligible,,0.00,INR,0.00,,0,0, --,0,0.00,0.00%
Enabled,court document search,Broad match,Eligible,,0.00,INR,0.00,,0,0, --,0,0.00,0.00%
Enabled,ai for lawyers,Broad match,Eligible,,0.00,INR,0.00,,10,136,7.35%,1.25,12.47,0.00%
Enabled,ai legal assistant,Broad match,Eligible,,0.00,INR,0.00,,0,1,0.00%,0,0.00,0.00%
Enabled,free legal research sites,Broad match,Eligible,,0.00,INR,0.00,,0,0, --,0,0.00,0.00%
Enabled,civil suit,Broad match,Eligible,,0.00,INR,0.00,,0,20,0.00%,0,0.00,0.00%
Enabled,ai for law firms,Broad match,Eligible,,0.00,INR,0.00,,0,0, --,0,0.00,0.00%
Enabled,court records,Broad match,Eligible,,0.00,INR,0.00,,0,10,0.00%,0,0.00,0.00%
Enabled,legal ai,Broad match,Eligible,,1.00,INR,40.28,,3,111,2.70%,13.43,40.28,33.33%
Enabled,legora,Broad match,Eligible,,0.00,INR,0.00,,0,2,0.00%,0,0.00,0.00%
Enabled,research court cases,Broad match,Eligible,,0.00,INR,0.00,,0,0, --,0,0.00,0.00%
Enabled,ai legal documents,Broad match,Eligible,,0.00,INR,0.00,,0,0, --,0,0.00,0.00%
Enabled,Manupatra,Broad match,Eligible,,0.00,INR,0.00,,0,0, --,0,0.00,0.00%
Enabled,Legal AI,Broad match,Eligible,,0.00,INR,0.00,,0,42,0.00%,0,0.00,0.00%
Enabled,Claude for law,Broad match,Eligible,,0.00,INR,0.00,,0,0, --,0,0.00,0.00%
Enabled,case law research,Broad match,Eligible,,0.00,INR,0.00,,0,26,0.00%,0,0.00,0.00%
Enabled,Indian Kanoon,Broad match,Eligible,,0.00,INR,0.00,,0,0, --,0,0.00,0.00%
Enabled,legal document ai,Broad match,Eligible,,0.00,INR,0.00,,0,0, --,0,0.00,0.00%
Enabled,legal writing ai,Broad match,Eligible,,0.00,INR,0.00,,0,0, --,0,0.00,0.00%
Enabled,court case files,Broad match,Eligible,,0.00,INR,0.00,,0,50,0.00%,0,0.00,0.00%
Enabled,chatgpt law,Broad match,Eligible,,0.00,INR,0.00,,0,0, --,0,0.00,0.00%
Enabled,civil case lawyer,Broad match,Eligible,,0.00,INR,0.00,,0,0, --,0,0.00,0.00%
Enabled,harvey ai,Broad match,Eligible,,0.00,INR,0.00,,0,4,0.00%,0,0.00,0.00%
Enabled,court case,Broad match,Eligible,,0.00,INR,0.00,,0,1,0.00%,0,0.00,0.00%
Enabled,court cases by name,Broad match,Eligible,,0.00,INR,0.00,,0,6,0.00%,0,0.00,0.00%
Enabled,legal drafting software,Broad match,Eligible,,0.00,INR,0.00,,0,13,0.00%,0,0.00,0.00%
Enabled,free legal research,Broad match,Eligible,,0.00,INR,0.00,,0,0, --,0,0.00,0.00%
Enabled,civil lawsuit,Broad match,Eligible,,0.00,INR,0.00,,0,5,0.00%,0,0.00,0.00%
Enabled,case search,Broad match,Eligible,,0.00,INR,0.00,,0,62,0.00%,0,0.00,0.00%
Enabled,ai for legal,Broad match,Eligible,,0.00,INR,0.00,,6,181,3.31%,15.96,95.77,0.00%
Enabled,anrak legal,Broad match,Eligible,,0.00,INR,0.00,,0,3,0.00%,0,0.00,0.00%
Enabled,criminal cases,Broad match,Eligible,,0.00,INR,0.00,,0,0, --,0,0.00,0.00%
Enabled,legal case research,Broad match,Eligible,,0.00,INR,0.00,,0,0, --,0,0.00,0.00%
Enabled,case law search,Broad match,Eligible,,0.00,INR,0.00,,0,16,0.00%,0,0.00,0.00%
Enabled,india legal,Broad match,Eligible,,0.00,INR,0.00,,0,6,0.00%,0,0.00,0.00%
Enabled,scc online,Broad match,Eligible,,0.00,INR,0.00,,0,0, --,0,0.00,0.00%
Enabled,openclaw for law,Broad match,Eligible,,0.00,INR,0.00,,0,0, --,0,0.00,0.00%
Enabled,Casemine,Broad match,Limited,low quality,0.00,INR,0.00,,0,3,0.00%,0,0.00,0.00%
Enabled,legal cases,Broad match,Eligible,,0.00,INR,0.00,,0,0, --,0,0.00,0.00%
Enabled,case management,Broad match,Eligible,,0.00,INR,0.00,,0,0, --,0,0.00,0.00%
Enabled,legal case search,Broad match,Eligible,,0.00,INR,0.00,,0,0, --,0,0.00,0.00%
Enabled,ai for legal documents,Broad match,Eligible,,0.00,INR,0.00,,1,133,0.75%,0.89,0.89,0.00%
Enabled,under law,Broad match,Eligible,,0.00,INR,0.00,,0,0, --,0,0.00,0.00%
Enabled,CLM,Broad match,Eligible,,0.00,INR,0.00,,0,0, --,0,0.00,0.00%
Enabled,court search,Broad match,Eligible,,0.00,INR,0.00,,0,0, --,0,0.00,0.00%
Enabled,case law,Broad match,Eligible,,0.00,INR,0.00,,0,0, --,0,0.00,0.00%
Enabled,legal research case law,Broad match,Eligible,,0.00,INR,0.00,,0,0, --,0,0.00,0.00%
Enabled,case law research sites,Broad match,Eligible,,0.00,INR,0.00,,0,0, --,0,0.00,0.00%
Enabled,court assistant,Broad match,Eligible,,0.00,INR,0.00,,0,0, --,0,0.00,0.00%
Enabled,legal contract ai,Broad match,Eligible,,0.00,INR,0.00,,0,0, --,0,0.00,0.00%
Enabled,legal research and writing,Broad match,Eligible,,0.00,INR,0.00,,3,160,1.88%,2.68,8.03,0.00%
Enabled,ai legal,Broad match,Eligible,,0.00,INR,0.00,,1,57,1.75%,11.98,11.98,0.00%
Enabled,legal brief,Broad match,Eligible,,0.00,INR,0.00,,0,0, --,0,0.00,0.00%
 --,,Total: All but removed keywords, --,,1.00,INR,250.05,,31,"1,449",2.14%,8.07,250.05,3.23%
,,Total: Keywords in your ad group,,,1.00,INR,261.80,,42,"1,642",2.56%,6.23,261.80,2.38%
,,Total: Your keywords,,,1.00,INR,250.05,,31,"1,449",2.14%,8.07,250.05,3.23%
,,Total: AI Max expanded matches,,,0.00,INR,0.00,,0,0, --,0,0.00,0.00%
,,Total: AI Max landing page matches,,,1.00,INR,578.80,,92,404,22.77%,6.29,578.80,1.09%
,,Total: URL inclusions in your ad group,,,0.00,INR,0.00,,0,0, --,0,0.00,0.00%
,,Total: Search keywords on display network,,,0.00,INR,0.00,,18,276,6.52%,1.05,18.82,0.00%
,,Total: Ad group,,,2.00,INR,423.84,,141,"2,129",6.62%,6.01,847.67,1.42%
