Location Name,Impressions
Andaman and Nicobar Islands,0
Andhra Pradesh,2
Arunachal Pradesh,0
Assam,3
Bihar,2
Chandigarh,0
Chhattisgarh,3
Dadra and Nagar Haveli and Daman and Diu,0
Delhi,18
Goa,4
Gujarat,11
Haryana,8
Himachal Pradesh,1
India,0
Jammu and Kashmir,2
Jharkhand,2
Karnataka,13
Kerala,2
Madhya Pradesh,8
Maharashtra,31
Manipur,0
Meghalaya,0
Mizoram,0
Nagaland,0
Odisha,1
Puducherry,0
Punjab,0
Rajasthan,9
Sikkim,0
Tamil Nadu,16
Telangana,5
Tripura,0
Uttar Pradesh,13
Uttarakhand,0
West Bengal,6
