Hour,Clicks,Impressions,Avg. CPC,Cost
00 - 01,0,7,₹0.00,₹0.00
01 - 02,1,9,₹38.33,₹38.33
02 - 03,0,3,₹0.00,₹0.00
03 - 04,1,2,₹39.92,₹39.92
04 - 05,0,3,₹0.00,₹0.00
05 - 06,0,4,₹0.00,₹0.00
06 - 07,0,1,₹0.00,₹0.00
07 - 08,1,8,₹39.04,₹39.04
08 - 09,1,4,₹39.88,₹39.88
09 - 10,2,4,₹34.63,₹69.26
10 - 11,0,11,₹0.00,₹0.00
11 - 12,2,12,₹37.02,₹74.05
12 - 13,1,8,₹29.34,₹29.34
13 - 14,1,6,₹29.03,₹29.03
14 - 15,1,10,₹39.49,₹39.49
15 - 16,5,29,₹38.60,₹193.01
16 - 17,3,22,₹39.67,₹119.00
17 - 18,1,18,₹38.30,₹38.30
18 - 19,0,0,₹0.00,₹0.00
19 - 20,0,0,₹0.00,₹0.00
20 - 21,0,0,₹0.00,₹0.00
21 - 22,0,0,₹0.00,₹0.00
22 - 23,0,0,₹0.00,₹0.00
23 - 00,0,0,₹0.00,₹0.00
