Location Name,Impressions
Andaman and Nicobar Islands,0
Andhra Pradesh,2
Arunachal Pradesh,0
Assam,3
Bihar,5
Chandigarh,4
Chhattisgarh,9
Dadra and Nagar Haveli and Daman and Diu,1
Delhi,19
Goa,4
Gujarat,18
Haryana,7
Himachal Pradesh,1
India,0
Jammu and Kashmir,5
Jharkhand,3
Karnataka,18
Kerala,5
Madhya Pradesh,14
Maharashtra,51
Manipur,0
Meghalaya,0
Mizoram,0
Nagaland,0
Odisha,3
Puducherry,0
Punjab,8
Rajasthan,13
Sikkim,0
Tamil Nadu,18
Telangana,6
Tripura,1
Uttar Pradesh,19
Uttarakhand,1
West Bengal,11
