Hour,Clicks,Impressions,Avg. CPC,Cost
00 - 01,0,0,₹0.00,₹0.00
01 - 02,0,0,₹0.00,₹0.00
02 - 03,0,0,₹0.00,₹0.00
03 - 04,0,0,₹0.00,₹0.00
04 - 05,0,0,₹0.00,₹0.00
05 - 06,0,0,₹0.00,₹0.00
06 - 07,0,0,₹0.00,₹0.00
07 - 08,0,0,₹0.00,₹0.00
08 - 09,0,0,₹0.00,₹0.00
09 - 10,0,12,₹0.00,₹0.00
10 - 11,0,8,₹0.00,₹0.00
11 - 12,1,19,₹44.32,₹44.32
12 - 13,1,26,₹43.93,₹43.93
13 - 14,5,20,₹45.08,₹225.41
14 - 15,3,32,₹45.15,₹135.46
15 - 16,1,51,₹45.30,₹45.30
16 - 17,4,36,₹44.59,₹178.38
17 - 18,0,45,₹0.00,₹0.00
18 - 19,0,0,₹0.00,₹0.00
19 - 20,0,0,₹0.00,₹0.00
20 - 21,0,0,₹0.00,₹0.00
21 - 22,0,0,₹0.00,₹0.00
22 - 23,0,0,₹0.00,₹0.00
23 - 00,0,0,₹0.00,₹0.00
