Search Keyword,Match type,Criterion Status,Campaign Status,Ad Group Status,Cost,Clicks,CTR
artificial intelligence for law firms,Phrase match,Enabled,Enabled,Enabled,₹288.11,6,8.22%
legal document analysis software,Phrase match,Enabled,Enabled,Enabled,₹135.35,3,8.57%
ai legal research tool,Phrase match,Enabled,Enabled,Enabled,₹106.30,2,6.06%
legal workflow automation,Phrase match,Enabled,Enabled,Enabled,₹101.35,2,22.22%
ai contract drafting tool,Phrase match,Enabled,Enabled,Enabled,₹92.34,2,8.70%
ai contract drafting tool,Phrase match,Enabled,Enabled,Enabled,₹53.18,1,33.33%
legal ai,Exact match,Enabled,Enabled,Enabled,₹23.26,1,5.56%
legal billing and time tracking software,Exact match,Enabled,Enabled,Enabled,₹0.00,0,0.00%
case law research software,Exact match,Enabled,Enabled,Enabled,₹0.00,0,0.00%
corporate legal department software,Phrase match,Enabled,Enabled,Enabled,₹0.00,0,0.00%
automated legal drafting software,Phrase match,Enabled,Enabled,Enabled,₹0.00,0,0.00%
document automation software for law firms,Phrase match,Enabled,Enabled,Enabled,₹0.00,0,0.00%
ai for lawyers,Exact match,Enabled,Enabled,Enabled,₹0.00,0,0.00%
ai software for law firms,Exact match,Enabled,Enabled,Enabled,₹0.00,0,0.00%
contract intelligence software,Phrase match,Enabled,Enabled,Enabled,₹0.00,0,0.00%
ai legal assistant,Exact match,Enabled,Enabled,Enabled,₹0.00,0,0.00%
automated contract review software,Phrase match,Enabled,Enabled,Enabled,₹0.00,0,0.00%
chatgpt for lawyers,Phrase match,Enabled,Enabled,Enabled,₹0.00,0,0.00%
generative ai for lawyers,Phrase match,Enabled,Enabled,Enabled,₹0.00,0,0.00%
ai case law search,Exact match,Enabled,Enabled,Enabled,₹0.00,0,0.00%
spotdraft alternatives,Phrase match,Enabled,Enabled,Enabled,₹0.00,0,0.00%
casetext alternatives,Phrase match,Enabled,Enabled,Enabled,₹0.00,0,0.00%
harvey ai alternatives,Phrase match,Enabled,Enabled,Enabled,₹0.00,0,0.00%
harvey ai alternatives,Exact match,Enabled,Enabled,Enabled,₹0.00,0,0.00%
ai contract analyzer,Phrase match,Enabled,Enabled,Enabled,₹0.00,0,0.00%
ai legal search engine,Phrase match,Enabled,Enabled,Enabled,₹0.00,0,0.00%
claude for lawyers,Phrase match,Enabled,Enabled,Enabled,₹0.00,0,0.00%
ai copilot for lawyers,Phrase match,Enabled,Enabled,Enabled,₹0.00,0,0.00%
corporate law firm software,Phrase match,Enabled,Enabled,Enabled,₹0.00,0,0.00%
contract review software word,Phrase match,Enabled,Enabled,Enabled,₹0.00,0,0.00%
claude pro for law firms,Phrase match,Enabled,Enabled,Enabled,₹0.00,0,0.00%
legal document automation software enterprise,Exact match,Enabled,Enabled,Enabled,₹0.00,0,0.00%
ai agreement reviewer,Phrase match,Enabled,Enabled,Enabled,₹0.00,0,0.00%
automated contract drafting software,Exact match,Enabled,Enabled,Enabled,₹0.00,0,0.00%
contract automation software enterprise,Exact match,Enabled,Enabled,Enabled,₹0.00,0,0.00%
ai legal research platform india,Phrase match,Enabled,Enabled,Enabled,₹0.00,0,0.00%
law firm practice management software india,Phrase match,Enabled,Enabled,Enabled,₹0.00,0,0.00%
legal tech software for enterprises,Phrase match,Enabled,Enabled,Enabled,₹0.00,0,0.00%
provakil alternatives,Phrase match,Enabled,Enabled,Enabled,₹0.00,0,0.00%
legitquest alternatives,Phrase match,Enabled,Enabled,Enabled,₹0.00,0,0.00%
legal tech platforms india,Phrase match,Enabled,Enabled,Enabled,₹0.00,0,0.00%
legora alternatives,Phrase match,Enabled,Enabled,Enabled,₹0.00,0,0.00%
legal tech software india,Phrase match,Enabled,Enabled,Enabled,₹0.00,0,0.00%
law firm case management system,Exact match,Enabled,Enabled,Enabled,₹0.00,0,0.00%
legal billing and time tracking software,Exact match,Enabled,Enabled,Enabled,₹0.00,0,0.00%
case law research software,Exact match,Enabled,Enabled,Enabled,₹0.00,0,0.00%
automated legal drafting software,Phrase match,Enabled,Enabled,Enabled,₹0.00,0,0.00%
document automation software for law firms,Phrase match,Enabled,Enabled,Enabled,₹0.00,0,0.00%
automated contract review software,Phrase match,Enabled,Enabled,Enabled,₹0.00,0,0.00%
chatgpt for lawyers,Phrase match,Enabled,Enabled,Enabled,₹0.00,0,0.00%
