Location Name,Impressions
Andaman and Nicobar Islands,0
Andhra Pradesh,14
Arunachal Pradesh,0
Assam,2
Bihar,23
Chandigarh,3
Chhattisgarh,1
Dadra and Nagar Haveli and Daman and Diu,0
Delhi,21
Goa,1
Gujarat,21
Haryana,23
Himachal Pradesh,1
India,0
Jammu and Kashmir,6
Jharkhand,7
Karnataka,29
Kerala,20
Madhya Pradesh,17
Maharashtra,79
Manipur,0
Meghalaya,1
Mizoram,0
Nagaland,0
Odisha,12
Puducherry,1
Punjab,11
Rajasthan,14
Sikkim,1
Tamil Nadu,30
Telangana,26
Tripura,0
Uttar Pradesh,52
Uttarakhand,2
West Bengal,34
