Hour,Clicks,Impressions,Avg. CPC,Cost
00 - 01,0,0,₹0.00,₹0.00
01 - 02,0,0,₹0.00,₹0.00
02 - 03,0,0,₹0.00,₹0.00
03 - 04,0,0,₹0.00,₹0.00
04 - 05,0,0,₹0.00,₹0.00
05 - 06,0,0,₹0.00,₹0.00
06 - 07,0,0,₹0.00,₹0.00
07 - 08,0,0,₹0.00,₹0.00
08 - 09,0,0,₹0.00,₹0.00
09 - 10,2,20,₹39.28,₹78.57
10 - 11,0,0,₹0.00,₹0.00
11 - 12,2,22,₹38.72,₹77.43
12 - 13,2,64,₹37.80,₹75.60
13 - 14,2,86,₹39.46,₹78.92
14 - 15,5,51,₹35.61,₹178.05
15 - 16,2,59,₹35.32,₹70.64
16 - 17,5,55,₹28.39,₹141.97
17 - 18,2,35,₹22.43,₹44.86
18 - 19,1,39,₹24.79,₹24.79
19 - 20,2,21,₹24.05,₹48.10
20 - 21,0,0,₹0.00,₹0.00
21 - 22,0,0,₹0.00,₹0.00
22 - 23,0,0,₹0.00,₹0.00
23 - 00,0,0,₹0.00,₹0.00
