Location Name,Impressions
Andaman and Nicobar Islands,0
Andhra Pradesh,8
Arunachal Pradesh,0
Assam,1
Bihar,3
Chandigarh,0
Chhattisgarh,1
Dadra and Nagar Haveli and Daman and Diu,0
Delhi,17
Goa,0
Gujarat,11
Haryana,9
Himachal Pradesh,2
India,0
Jammu and Kashmir,0
Jharkhand,0
Karnataka,10
Kerala,9
Madhya Pradesh,14
Maharashtra,34
Manipur,0
Meghalaya,10
Mizoram,0
Nagaland,0
Odisha,2
Puducherry,0
Punjab,6
Rajasthan,5
Sikkim,0
Tamil Nadu,13
Telangana,6
Tripura,0
Uttar Pradesh,14
Uttarakhand,0
West Bengal,6
