Day,Start Hour,Impressions
Sunday,00,0
Sunday,01,0
Sunday,02,0
Sunday,03,0
Sunday,04,0
Sunday,05,0
Sunday,06,0
Sunday,07,0
Sunday,08,0
Sunday,09,0
Sunday,10,0
Sunday,11,0
Sunday,12,0
Sunday,13,0
Sunday,14,0
Sunday,15,0
Sunday,16,0
Sunday,17,1
Sunday,18,0
Sunday,19,0
Sunday,20,1
Sunday,21,0
Sunday,22,0
Sunday,23,0
Monday,00,0
Monday,01,0
Monday,02,0
Monday,03,0
Monday,04,0
Monday,05,0
Monday,06,0
Monday,07,0
Monday,08,0
Monday,09,0
Monday,10,1
Monday,11,1
Monday,12,0
Monday,13,1
Monday,14,1
Monday,15,1
Monday,16,0
Monday,17,0
Monday,18,0
Monday,19,0
Monday,20,0
Monday,21,0
Monday,22,2
Monday,23,0
Tuesday,00,2
Tuesday,01,2
Tuesday,02,0
Tuesday,03,0
Tuesday,04,0
Tuesday,05,0
Tuesday,06,0
Tuesday,07,2
Tuesday,08,0
Tuesday,09,1
Tuesday,10,5
Tuesday,11,4
Tuesday,12,3
Tuesday,13,3
Tuesday,14,3
Tuesday,15,3
Tuesday,16,7
Tuesday,17,3
Tuesday,18,10
Tuesday,19,7
Tuesday,20,13
Tuesday,21,5
Tuesday,22,0
Tuesday,23,1
Wednesday,00,0
Wednesday,01,0
Wednesday,02,0
Wednesday,03,0
Wednesday,04,0
Wednesday,05,0
Wednesday,06,0
Wednesday,07,0
Wednesday,08,0
Wednesday,09,0
Wednesday,10,0
Wednesday,11,0
Wednesday,12,0
Wednesday,13,0
Wednesday,14,0
Wednesday,15,0
Wednesday,16,0
Wednesday,17,0
Wednesday,18,0
Wednesday,19,0
Wednesday,20,0
Wednesday,21,0
Wednesday,22,0
Wednesday,23,0
Thursday,00,0
Thursday,01,0
Thursday,02,0
Thursday,03,0
Thursday,04,0
Thursday,05,0
Thursday,06,0
Thursday,07,0
Thursday,08,0
Thursday,09,0
Thursday,10,0
Thursday,11,0
Thursday,12,0
Thursday,13,0
Thursday,14,0
Thursday,15,0
Thursday,16,0
Thursday,17,0
Thursday,18,0
Thursday,19,0
Thursday,20,0
Thursday,21,0
Thursday,22,0
Thursday,23,0
Friday,00,0
Friday,01,0
Friday,02,0
Friday,03,0
Friday,04,0
Friday,05,0
Friday,06,0
Friday,07,0
Friday,08,0
Friday,09,0
Friday,10,0
Friday,11,0
Friday,12,0
Friday,13,0
Friday,14,0
Friday,15,0
Friday,16,0
Friday,17,4
Friday,18,10
Friday,19,26
Friday,20,68
Friday,21,61
Friday,22,67
Friday,23,98
Saturday,00,53
Saturday,01,42
Saturday,02,23
Saturday,03,13
Saturday,04,6
Saturday,05,8
Saturday,06,17
Saturday,07,42
Saturday,08,78
Saturday,09,82
Saturday,10,97
Saturday,11,85
Saturday,12,93
Saturday,13,70
Saturday,14,90
Saturday,15,101
Saturday,16,126
Saturday,17,118
Saturday,18,130
Saturday,19,117
Saturday,20,108
Saturday,21,101
Saturday,22,95
Saturday,23,17
